X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-4034144.696,3187748.668,train,2.0950517481259725E-4,17.04831888228764,0.486738283900205
-3961862.461,3181536.967,train,1.7905335770719205E-4,10.678775252087748,0.44766145471059143
-3863356.111,3089374.055,train,2.9117518479927676E-4,34.25692303392114,0.5685940838786853
-3847693.003,3151560.833,train,3.5253769701935883E-4,46.73148197900931,0.6147563003619364
-3838112.872,3122033.207,train,3.8870516219148793E-4,54.023306250626234,0.6376117418442124
-3843651.779,3150974.829,train,3.5253769701935883E-4,46.73148197900931,0.6147563003619364
-3822618.458,3146664.429,train,3.398343672884115E-4,44.13057471997728,0.6060290138130746
-3820874.613,3150041.794,train,2.675058725621653E-4,30.345782835438722,0.5476880486055047
-3816285.908,3151145.391,train,2.675058725621653E-4,30.345782835438722,0.5476880486055047
-3810796.934,3150293.183,train,2.675058725621653E-4,30.345782835438722,0.5476880486055047
-3817536.985,3159674.431,train,3.9860704790157245E-4,55.09951131925914,0.6434037698714018
-3806178.038,3176770.412,train,3.0684846587524287E-4,37.9996523430269,0.58140562248365
-3792573.917,3138966.726,train,3.57052771487122E-4,48.08195661723477,0.6177657834291184
-3732262.137,3137742.128,train,4.0730200270113365E-4,56.69978953874636,0.6483392550083178
-3717553.235,3135221.365,train,5.301712167855607E-4,76.59725378339577,0.705866474224616
-3695564.855,3156402.259,train,5.201229560816142E-4,75.28230144105646,0.7018781439054296
-3855270.434,3114925.097,train,3.5373540997676997E-4,47.100264585663886,0.6155592339160276
-3819476.384,3092257.905,train,1.3494868744781536E-4,5.9126486507838685,0.37920754786053246
-3703165.014,3065079.091,train,2.313752582020706E-4,20.301286354876023,0.5115562261169527
-3644199.098,3022470.619,train,4.41311413608811E-4,65.08862075667585,0.6663990241284874
-3655475.395,3041583.216,train,4.0628211472023624E-4,56.44544958283157,0.6477674239169785
-3642361.296,3057928.963,train,3.653853215260502E-4,49.13074164972265,0.6231980677593445
-3611746.72,3112638.555,train,5.255525035752725E-4,75.8464144128649,0.7040465605125286
-3575654.3,3079236.011,train,2.525596871436009E-4,25.62982838361078,0.5334101058159123
-3512452.704,3042729.138,train,1.7991664303081354E-4,10.827986859165728,0.4488510263259125
-3646145.555,3074223.018,train,3.9126282193787385E-4,54.35239002858436,0.6391257723774871
-3486850.481,3023792.254,train,2.4534675228558557E-4,23.39971034480123,0.5261921963938377
-3535060.65,3074855.13,train,4.292273391120717E-4,62.381570890087076,0.6601985076130139
-3516690.089,3067210.483,train,2.0719109182211153E-4,16.52645071748511,0.4839639436049154
-3429077.797,3033913.946,train,3.766570132010368E-4,52.02910415734512,0.6303054094991007
