Latitude,Longitude,Pycnopodia_helianthoides logistic values
-1863954.483,1297923.457,0.44199938
-3790094.131,3031072.066,0.018061731
-1881287.078,1400077.004,0.5744977
-1873445.243,1318443.231,0.55052984
-1974619.727,-469757.8633,0.6496497
-1897872.31,1247984.431,0.4503797
-2064066.581,-566536.4391,0.001189435
-2978416.558,3057031.647,0.44969818
-2114686.004,-301496.4701,0.7623918
-1985566.089,-578183.0691,0.19708578
-2144159.995,735582.8328,0.08630728
-1939511.678,-496303.9075,0.74943703
-1850819.91,1332615.317,0.53489876
-1845122.44,1206082.639,0.535195
-2733754.787,2992932.841,0.0037183983
-1900410.5,1382753.489,0.17060211
-2011657.076,1207536.392,0.6199509
-3385029.988,2953477.725,0.64158195
-3485347.572,2946190.006,0.3055809
-2119598.348,-328709.3086,0.800996
-3076982.832,3221755.63,0.71978027
-3066263.294,3048288.478,0.34865907
-2163915.424,-59644.47611,0.7447918
-2107014.414,-413474.6622,0.015024343
-3841913.309,3154645.314,0.6547467
-1840173.428,1314982.767,0.5393712
-2981463.015,3056815.871,0.44969818
-3649717.239,3084461.93,0.6168758
-2225548.19,2091629.924,0.6537756
-1922837.571,1243644.329,0.54702926
-2105710.352,-376880.8791,0.7708178
-1881693.626,1290410.519,0.5038007
-2982324.42,3074477.974,0.23193975
-2173092.726,675732.5772,0.5608367
-1860489.134,1339967.744,0.47915053
-2101804.586,-433471.4377,0.82391864
-2225326.547,138054.371,0.59252906
-1988699.043,-515205.6667,0.008164616
-2850336.71,3105276.262,0.38126856
-3659525.742,3063722.858,0.5885035
-3434495.622,3028539.635,0.6303054
-2235204.015,1843939.835,0.72513455
-2073188.9,-411232.9413,9.3394856E-4
-2063395.571,-578770.4301,0.026532408
-1859567.619,1295409.677,0.42760605
-1804895.76,-1229912.582,0.70590436
-1876986.037,1328514.112,0.58436716
-2029037.324,1362683.908,0.605373
-1842345.365,1337383.097,0.51075006
-3245302.203,2954180.977,0.53981996
-2080482.813,-467871.5939,0.35286567
-3417432.226,3005757.558,0.25218242
-1839104.851,1251888.692,0.59094983
-3369610.255,3063836.498,0.22754458
-1892327.444,1243240.081,0.48085466
-1852116.902,1283925.723,0.5009411
-2127159.939,-263800.1294,0.70368344
-3567526.496,2988130.039,0.32481238
-2171968.247,691822.4628,0.43024126
-2537589.875,2967393.339,0.1229945
-2879255.311,2989200.788,0.51681644
-2197551.447,-6667.610185,0.6723972
-2864013.083,3103686.333,0.655351
-2068420.3,1620648.233,0.6206366
-2026625.18,943006.8572,0.7041038
-3405227.381,2977213.458,0.33420357
-1843940.578,1331225.815,0.53489876
-1873243.605,1275669.311,0.3638689
-3274669.281,3133666.801,0.6440822
-2916286.012,3101083.462,0.33408505
-2136887.145,-364900.8449,0.00683537
-1842931.528,1222550.333,0.49449962
-1885344.737,-602287.0295,0.0014188003
-1846428.821,1199658.792,0.535195
-1915904.721,1254797.302,0.2689795
-1864732.654,1237262.657,0.5287908
-1971805.354,-521010.6086,0.02179818
-1873928.911,-613642.0253,0.5912779
-1849077.824,1238966.372,0.6263599
-2012066.726,-534985.5884,0.004262447
-1845211.749,1250379.163,0.6161925
-2825618.313,3087326.598,0.54548246
-2098450.469,1546030.652,0.67884856
-1819373.525,-1200953.434,0.71512705
-1966984.844,1287809.371,0.43332508
-1811759.549,-1182352.075,0.68625546
-2051611.818,-578114.978,0.008521488
-3350498.728,2989223.739,0.62233686
-2088368.343,811347.99,0.6565289
-1894736.98,1262644.08,0.61420894
-1976620.751,-618731.684,0.0058926707
-1865049.223,1344230.474,0.11380166
-1870121.909,1260987.666,0.3922737
-2074927.837,-420484.0903,0.11431369
-3131178.602,2943214.249,0.5750444
-3230455.422,2909135.324,0.0036563252
-2225431.81,164557.1886,0.71004087
-1873183.94,1238874.68,0.5287908
-2038218.492,1401868.579,0.68232656
-3102055.188,3154504.805,0.6710404
-2908123.462,3123761.706,0.65095013
-1857022.448,1247647.529,0.5293852
-3899026.244,3211610.0,0.57694614
-3194104.421,3101342.486,0.17759426
-1850006.556,1230525.718,0.6263599
-1871614.658,1334351.726,0.47071517
-3709727.903,3059756.831,0.49756172
-1871250.246,1266215.099,0.36116207
-2166059.469,693698.7866,0.43024126
-1900560.157,-582414.6014,0.008009228
-1858851.861,1229752.396,0.514659
-1908325.728,1250075.219,0.465026
-2006079.75,-501478.429,0.012755473
-1845448.935,1253466.913,0.51857656
-3074788.706,2940942.893,0.17672573
-1988523.486,-590815.2365,0.6413995
-1887799.727,1360890.481,0.51995003
-2088074.201,853936.0712,0.70018727
-1831473.176,1294026.439,0.54601395
-2021825.558,1177025.038,0.1779876
-2111064.05,1540265.174,0.5792973
-2305281.07,2552654.215,0.05161234
-1918180.288,1395089.778,0.53946614
-2106719.909,769601.4236,0.62563396
-2194300.259,4276.881203,0.73428553
-2293335.702,2343601.783,0.15893325
-2084610.879,871228.1893,0.61013293
-1842633.181,1335437.885,0.53489876
-2470625.641,2929466.416,0.71262246
-1942334.342,1290404.064,0.5561551
-1878553.055,1379181.905,0.03585327
-2116512.958,754461.1793,0.6189553
-2929371.945,3120934.504,0.60429525
-1872341.233,1352932.228,0.04040892
-2965885.234,2980038.8,0.041585144
-1906001.955,1242863.385,0.465026
-2032187.729,-505049.567,0.0055985693
-2653186.395,3109060.965,0.71565247
-2935457.511,3218044.417,0.6335657
-2066515.806,905941.3227,0.20154789
-2158997.639,11171.6966,0.75410485
-1910451.904,1267265.774,0.58710945
-3406872.72,3046754.277,0.4819835
-1874828.637,-594510.7096,0.67747164
-1882646.854,-615035.704,0.5912779
-3873370.015,3144661.137,0.45929822
-2011338.668,1336542.627,0.60510975
-2002904.932,1352221.231,0.64692634
-1941238.386,1450659.043,0.56566703
-2139649.6,-413136.9306,0.13742359
-1836989.999,1271897.032,0.47416565
-1808201.425,-1189839.125,0.663675
-3351577.949,2943857.504,0.4537089
-1890993.338,1250431.741,0.48085466
-1902071.722,1243121.435,0.4503797
-1911800.541,1252080.597,0.2689795
-2228013.437,1984832.389,0.7577292
-1936741.362,-544896.558,9.639181E-4
-2990743.936,3079221.828,0.23099855
-2298735.885,2561632.71,0.47615707
-1909765.571,-653541.56,0.22413744
-1885401.422,1364732.17,0.51995003
-3305131.269,2927997.862,0.21487679
-3524333.766,2952927.592,0.49824023
-2861884.14,3286934.294,0.5439955
-2098583.201,-391775.8013,0.10214667
-3262052.604,2974534.185,0.68310577
-1790049.729,-1046388.03,0.75442404
-1958085.047,-534754.9887,0.026086232
-1849973.084,1242466.631,0.6161925
-1859697.393,1300480.982,0.42760605
-3346190.095,3082893.457,0.2836481
-1936742.059,1424612.04,0.57463664
-1871415.587,1242176.612,0.42643234
-3748248.596,3067097.0,0.45227352
-3558746.488,2994823.886,0.50352955
-1855191.218,1260222.803,0.46445617
-2927357.071,3014091.835,0.42715582
-2292312.064,2114684.259,0.3586968
-1875473.904,1270386.642,0.54048437
-2301459.419,2294111.159,0.17762452
-1869923.165,1362254.041,0.023056768
-1846507.515,1206423.016,0.535195
-2241472.136,1924454.704,0.7848296
-2798372.338,3000770.267,0.0056353193
-2164363.422,-128094.7321,0.72383744
-2755040.851,3004774.533,0.0022389614
-1902361.666,1390161.044,0.1201721
-3563099.817,3079774.908,0.42984957
-1887774.311,1249264.735,0.48085466
-2137710.608,1588726.751,0.074660584
-1891015.388,1239015.646,0.6583446
-1838487.212,-1185540.845,0.21681342
-2618105.899,3046958.655,0.65664977
-1882715.591,1249699.641,0.40107492
-1853620.849,1333473.839,0.3234625
-2246787.02,2244704.429,0.54644823
-2052016.392,-634962.7821,0.500991
-2343561.567,2739412.286,0.68356675
-1892284.606,1415385.739,0.62210524
-1847809.889,1209709.778,0.45442852
-2575878.618,2944412.53,0.04056096
-2590583.427,2991760.425,0.7181336
-2017633.453,-454601.0391,0.0025518283
-2917725.413,3078335.936,0.20374869
-2169306.697,-124430.6734,0.72383744
-1847366.778,1318783.03,0.439498
-2083560.043,1690818.84,0.5174459
-3272811.323,3065444.926,0.19862281
-1892291.659,1413103.131,0.62210524
-1913312.446,-663199.1996,0.19368127
-1861192.35,1261059.422,0.46445617
-1834642.211,1266926.022,0.47416565
-1881893.419,1346074.153,0.46624509
-2954440.269,2952414.522,0.21364373
-2134701.176,1562888.886,0.01167579
-1874364.595,1270339.873,0.54048437
-1868853.155,1282582.968,0.3638689
-2233684.546,2318001.757,0.60893273
-2969556.472,2940989.757,2.7497672E-4
-2167433.466,-106808.7879,0.77900714
-2057033.071,-609331.0793,0.14434277
-3668312.1,3076383.527,0.61565983
-2034473.113,1417063.13,0.6742912
-1846778.337,1243722.106,0.6161925
-3219236.996,2998221.525,0.5664612
-3627592.794,3014921.83,0.68715435
-1841935.657,1215252.261,0.45442852
-2979065.365,3105875.849,0.42112994
-2043857.083,-435912.4064,0.33142865
-1995738.77,-648657.3425,0.0018643894
-3671549.474,3048434.59,0.66110057
-1853524.14,1287860.444,0.36250913
-1951881.411,-507336.2529,0.459766
