Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
2.22724E-7,0.000022272,0.000057566,1,0,0
2.26331E-7,0.000133995,0.000058499,0.998581158,0,0
2.51711E-7,0.000341095,0.000065058,0.996027242,0,0
3.31184E-7,0.000523024,0.000085597,0.994324631,0,0
3.92569E-7,0.001000748,0.000101461,0.990635641,0,0
6.28686E-7,0.00251148,0.000162477,0.982406356,0,0
8.75204E-7,0.005006036,0.000226172,0.973041998,0,0
1.36006E-6,0.010093229,0.000351426,0.960272418,0,0
2.98101E-6,0.025137181,0.000769938,0.93984109,0,0
4.79068E-6,0.050425836,0.001236765,0.921679909,0,0
7.32775E-6,0.101355894,0.001890498,0.896708286,0,0
1.47743E-5,0.201134154,0.003804335,0.869750284,0,0
1.82171E-5,0.30137236,0.004686686,0.85215664,0,0
2.05623E-5,0.403772211,0.00528685,0.837400681,0,0
2.51467E-5,0.522995666,0.006457938,0.82292849,0,0
2.8142E-5,0.604257418,0.007221611,0.814131669,0,0
3.08094E-5,0.700167377,0.007900693,0.80476731,0,0
3.34976E-5,0.751616342,0.008584149,0.800227015,0,0
3.41481E-5,0.809513636,0.008749392,0.795402951,0,0
3.56327E-5,0.907748462,0.009126303,0.787457435,0.003773585,0
4.14555E-5,1.030789626,0.010601837,0.778660613,0.003773585,0
4.43712E-5,1.117911884,0.011339024,0.772985244,0.003773585,0
4.95842E-5,1.213692445,0.012654341,0.767309875,0.00754717,0
5.23691E-5,1.304736136,0.01335559,0.762202043,0.00754717,0
5.59363E-5,1.403153399,0.014252373,0.757094211,0.011320755,0
5.76461E-5,1.523180409,0.014681611,0.751135074,0.011320755,0
6.23014E-5,1.754902855,0.015848459,0.740068104,0.01509434,0
6.99426E-5,2.013975117,0.017757732,0.729001135,0.01509434,0
7.46215E-5,2.25207566,0.018923195,0.719636776,0.01509434,0
8.1773E-5,2.568533038,0.020699202,0.708286039,0.01509434,0
8.41021E-5,2.750508181,0.021276223,0.702043133,0.01509434,0
8.68965E-5,3.033679601,0.021967607,0.692678774,0.01509434,0
9.34441E-5,3.256709977,0.023583814,0.685584563,0.01509434,0
9.73237E-5,3.504589862,0.02453894,0.678206583,0.01509434,0
9.90943E-5,3.769260496,0.024974239,0.670544835,0.01509434,0
1.02933E-4,4.001767766,0.025916513,0.664018161,0.01509434,0
1.04372E-4,4.251732924,0.026269416,0.657207719,0.01509434,0
1.07593E-4,4.505230726,0.027058201,0.650397276,0.01509434,0
1.1078E-4,4.798594035,0.02783738,0.642735528,0.01509434,0
1.13275E-4,5.011951992,0.02844635,0.637060159,0.01509434,0
1.17574E-4,5.254930266,0.029494194,0.63138479,0.018867925,0
1.2307E-4,5.508206173,0.030830486,0.625425653,0.018867925,0
1.27603E-4,5.759090613,0.031929761,0.619750284,0.022641509,0
1.3165E-4,6.006061465,0.032908977,0.614358683,0.022641509,0
1.36223E-4,6.260715559,0.034013256,0.608967083,0.022641509,0
1.38589E-4,6.507997603,0.034583719,0.603859251,0.022641509,0
1.43683E-4,6.805292803,0.035809308,0.597900114,0.026415094,0
1.44351E-4,7.050564113,0.035969816,0.59307605,0.026415094,0
1.47207E-4,7.25386657,0.036655445,0.589103292,0.030188679,0
1.48784E-4,7.610026382,0.037033473,0.582292849,0.037735849,0
1.49123E-4,7.89319057,0.037114793,0.576901249,0.037735849,0
1.5063E-4,8.013374665,0.037475795,0.574631101,0.037735849,0
1.53151E-4,8.272889884,0.038079018,0.569523269,0.037735849,0
1.5513E-4,8.534726673,0.038552258,0.564982974,0.041509434,0
1.56542E-4,8.894149224,0.038889386,0.558172531,0.041509434,0
1.58121E-4,9.020204886,0.039266385,0.556186152,0.049056604,0
1.61295E-4,9.259174321,0.040022887,0.551929625,0.056603774,0.068965517
1.66558E-4,9.505490502,0.041275082,0.547673099,0.056603774,0.068965517
1.69881E-4,9.758455893,0.042063721,0.543416572,0.056603774,0.068965517
1.75172E-4,10.017326679,0.043317221,0.539160045,0.064150943,0.068965517
1.77827E-4,10.264111344,0.043944827,0.535187287,0.094339623,0.068965517
1.8027E-4,10.550355374,0.044521747,0.530646992,0.109433962,0.068965517
1.84323E-4,10.750861507,0.045477147,0.527525539,0.113207547,0.068965517
1.87596E-4,11.012050581,0.046247375,0.523552781,0.113207547,0.068965517
1.89963E-4,11.504328198,0.046803482,0.516174801,0.124528302,0.068965517
1.95542E-4,11.75581718,0.048112043,0.512485812,0.128301887,0.068965517
1.98655E-4,12.012994827,0.048840404,0.508796822,0.128301887,0.068965517
1.98768E-4,12.291153022,0.048866945,0.504824064,0.128301887,0.068965517
2.00788E-4,12.531124206,0.049339169,0.501418842,0.135849057,0.068965517
2.03647E-4,12.753534381,0.050006552,0.498297389,0.135849057,0.068965517
2.05489E-4,13.019210077,0.050435946,0.4946084,0.135849057,0.068965517
2.08145E-4,13.329630273,0.051054473,0.490351873,0.135849057,0.068965517
2.10513E-4,13.53939597,0.051605511,0.487514188,0.135849057,0.068965517
2.12794E-4,13.772657075,0.052135385,0.484392736,0.135849057,0.068965517
2.15498E-4,14.418209356,0.052763004,0.475879682,0.135849057,0.068965517
2.15561E-4,14.504414871,0.052777553,0.474744608,0.135849057,0.068965517
2.1769E-4,14.764838578,0.053270987,0.471339387,0.135849057,0.068965517
2.18774E-4,15.027150882,0.053522236,0.467650397,0.139622642,0.068965517
2.21486E-4,15.26957283,0.054149729,0.464812713,0.154716981,0.103448276
2.24134E-4,15.514723537,0.054761626,0.46169126,0.154716981,0.103448276
2.26677E-4,15.762928552,0.055348543,0.458569807,0.154716981,0.103448276
2.28316E-4,16.28696184,0.055726553,0.452043133,0.154716981,0.103448276
2.3012E-4,16.631071822,0.056142059,0.447786606,0.154716981,0.103448276
2.33465E-4,16.77074572,0.056911774,0.446083995,0.154716981,0.103448276
2.36438E-4,17.076700083,0.057594717,0.442395006,0.154716981,0.103448276
2.3789E-4,17.258475732,0.057927901,0.440124858,0.154716981,0.103448276
2.39174E-4,17.50520175,0.058222357,0.437287174,0.158490566,0.137931034
2.40852E-4,18.082411731,0.058606961,0.430476731,0.158490566,0.137931034
2.42742E-4,18.251555321,0.059039529,0.428490352,0.158490566,0.137931034
2.43841E-4,18.51893357,0.059291145,0.425368899,0.169811321,0.137931034
2.45012E-4,18.837288369,0.059558915,0.421679909,0.173584906,0.137931034
2.47815E-4,19.009768778,0.060199272,0.41969353,0.173584906,0.137931034
2.53192E-4,19.63716466,0.061425148,0.412599319,0.173584906,0.137931034
2.546E-4,19.789713276,0.061745738,0.410896708,0.173584906,0.137931034
2.56561E-4,20.019454756,0.062191743,0.408342792,0.173584906,0.137931034
2.58031E-4,20.431831649,0.062525609,0.403518729,0.173584906,0.137931034
2.5931E-4,20.509427101,0.062816222,0.402951192,0.181132075,0.137931034
2.63861E-4,20.771002381,0.063848182,0.400113507,0.18490566,0.137931034
2.63943E-4,21.140415707,0.063866829,0.396140749,0.18490566,0.137931034
2.64273E-4,21.298814597,0.063941645,0.394438138,0.18490566,0.137931034
2.65904E-4,21.563799063,0.0643107,0.391600454,0.19245283,0.137931034
2.66579E-4,22.016324353,0.064463453,0.38677639,0.19245283,0.137931034
2.68258E-4,22.525910555,0.064843171,0.381101022,0.19245283,0.137931034
2.69826E-4,23.037547079,0.06519755,0.37599319,0.196226415,0.137931034
2.7396E-4,23.254404862,0.066130305,0.373723042,0.196226415,0.137931034
2.75246E-4,23.556666829,0.066420083,0.370317821,0.203773585,0.137931034
2.7878E-4,23.750960325,0.067215619,0.36861521,0.249056604,0.172413793
2.79202E-4,24.001904494,0.067310556,0.366061294,0.252830189,0.206896552
2.85255E-4,24.256261843,0.068669664,0.363507378,0.256603774,0.206896552
2.86124E-4,24.541781721,0.068864418,0.360669694,0.260377358,0.206896552
2.89009E-4,24.771560207,0.069510574,0.358399546,0.260377358,0.206896552
2.90526E-4,25.381513809,0.069849858,0.35215664,0.260377358,0.206896552
2.9199E-4,25.556358716,0.070177148,0.350737798,0.271698113,0.24137931
2.9201E-4,25.877549746,0.0701815,0.347616345,0.271698113,0.24137931
2.93576E-4,26.024230954,0.070531372,0.346197503,0.275471698,0.24137931
2.94407E-4,26.554148373,0.070716944,0.340805902,0.275471698,0.24137931
2.96428E-4,27.087130432,0.071167823,0.33569807,0.283018868,0.24137931
2.9786E-4,27.295361179,0.071487177,0.333711691,0.286792453,0.275862069
3.02583E-4,27.506480569,0.072538374,0.332009081,0.290566038,0.275862069
3.03663E-4,27.990721347,0.072778551,0.327468785,0.290566038,0.275862069
3.03663E-4,28.021087692,0.072778551,0.326901249,0.290566038,0.275862069
3.05453E-4,28.264617731,0.073176056,0.324914869,0.298113208,0.310344828
3.09868E-4,28.604071089,0.074155232,0.321793417,0.298113208,0.310344828
3.11321E-4,28.759394665,0.074477128,0.320374574,0.301886792,0.310344828
3.13179E-4,29.040858737,0.074888321,0.317820658,0.305660377,0.310344828
