X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-3844641.283,3127671.581,train,3.5913227884137703E-4,35.488325309843475,0.08494343005325403
-3950805.292,3179170.168,train,4.577651238508126E-4,52.58101548001881,0.10580416268260981
-3733113.117,3118867.198,train,5.493474827392219E-4,61.336833478382516,0.12433979858623338
-3768312.3,3164144.31,train,0.0015169364664732276,86.12740435099496,0.2816598491802484
-3800710.786,3088543.517,train,2.2000190754908075E-4,15.136911848081144,0.05380639131489536
-3620826.029,3056418.79,train,6.816362932345971E-4,67.16643890066246,0.1497968922390179
-3669387.684,3022766.631,train,4.909330408772483E-4,55.823288376422994,0.11260706473647265
-3661446.389,3016742.941,train,4.909330408772483E-4,55.823288376422994,0.11260706473647265
-3611954.04,3112594.191,train,4.0052465149196555E-4,44.307696951431744,0.09381524401203235
-3530960.292,3068953.435,train,2.4462668524209545E-4,18.73253448146418,0.05947076682556191
-3482076.851,3082570.12,train,5.647677788057548E-4,61.56139303268381,0.1273854359380431
-3652355.17,3101205.803,train,5.814604896807123E-4,62.25333585128565,0.130658594936706
-3654079.352,3109874.805,train,8.828007081036749E-4,77.83182488677316,0.18579145572613517
-3606896.851,3115702.513,train,0.001111342804575463,83.5655212345959,0.22315627891663273
-3587508.31,3028217.737,train,1.7958670968151928E-4,10.470294885083952,0.04436042801616722
-3206590.203,3088413.314,train,3.3032586148715805E-4,31.843824841615486,0.07866600265971424
-3073308.397,3048164.061,train,2.928953243761948E-4,25.960474681486655,0.07037940405964722
-3171262.575,2976396.605,train,1.787678039205616E-4,10.374344461339891,0.044167081013339285
-3088055.915,2996434.038,train,1.875961537768409E-4,11.01208256278994,0.046247374812204214
-3202007.985,2980867.185,train,1.6063195173125758E-4,9.209253630968776,0.039864989280217034
-3123918.489,2970146.325,train,2.4323414908709957E-4,18.371291409403668,0.05915225501856569
-3079612.948,2973396.621,train,1.4006097827991732E-4,6.593904960111047,0.0349381350435298
-3068214.424,2964170.09,train,2.427415378646114E-4,18.25151396267265,0.059039529449008275
-3060812.483,2980707.676,train,2.7863409164773036E-4,23.742938524247858,0.06718281542096052
