"","Species","Longitude","Latitude","Depth","90th_%_Temp","Mean_Chl","Salinity","Substrate"
"1","Pycnopodia helianthoides",-4030465.31641018,3176683.68796869,-109.460372924805,8.96331024169922,1.00442099571228,32.2385597229004,2
"2","Pycnopodia helianthoides",-3844641.28326232,3127671.58149455,-48.139476776123,10.8580083847046,1.9099178314209,31.6325531005859,3
"3","Pycnopodia helianthoides",-3950805.2915655,3179170.16773,-64.8684463500977,7.85395288467407,0.935251176357269,31.8338642120361,3
"4","Pycnopodia helianthoides",-3733113.11670483,3118867.19769564,-6.18596935272217,9.71886157989502,3.35481286048889,31.3539123535156,3
"5","Pycnopodia helianthoides",-3768312.30010236,3164144.30973856,-1.70054996013641,7.32106637954712,7.88514947891235,31.4363307952881,4
"6","Pycnopodia helianthoides",-3800710.78647878,3088543.51657348,-131.387115478516,11.2409982681274,2.07044267654419,31.8218002319336,2
"7","Pycnopodia helianthoides",-3767465.59455883,3171306.74873967,-1.46781194210052,8.75345611572266,8.09183311462402,31.5112285614014,-9999
"8","Pycnopodia helianthoides",-3620826.02883997,3056418.79029178,-14.8254833221436,11.8335752487183,2.39790987968445,31.6003341674805,1
"9","Pycnopodia helianthoides",-3669387.68432606,3022766.63052056,-15.6435775756836,10.9074602127075,2.69963574409485,31.956428527832,2
"10","Pycnopodia helianthoides",-3661446.38927303,3016742.9407459,-15.6435775756836,10.9074602127075,2.69963574409485,31.956428527832,2
"11","Pycnopodia helianthoides",-3611954.04045066,3112594.19056806,-18.6393337249756,11.6307420730591,1.72470617294312,31.2829093933105,3
"12","Pycnopodia helianthoides",-3530960.29182424,3068953.43503648,-107.631973266602,11.5770063400269,1.76201808452606,31.3932971954346,2
"13","Pycnopodia helianthoides",-3482076.85066891,3082570.11984189,-40.0934181213379,10.8664388656616,2.78011274337769,31.4405326843262,5
"14","Pycnopodia helianthoides",-3652355.17026412,3101205.80318656,-6.38443660736084,10.3225898742676,3.43355011940002,31.2213764190674,2
"15","Pycnopodia helianthoides",-3654079.35187792,3109874.80490654,-19.353588104248,10.2484683990479,3.71692776679993,31.213773727417,4
"16","Pycnopodia helianthoides",-3606896.85055165,3115702.51326238,-8.08803653717041,7.95248794555664,1.58235847949982,31.3600311279297,4
"17","Pycnopodia helianthoides",-3587508.30999146,3028217.73704425,-192.707275390625,12.4597339630127,2.1729040145874,31.6292762756348,4
"18","Pycnopodia helianthoides",-3206590.2034302,3088413.31369277,-79.0023193359375,12.7857360839844,3.73997569084167,31.3866500854492,5
"19","Pycnopodia helianthoides",-3073308.39689038,3048164.06125619,-158.18391418457,11.3129596710205,2.77655601501465,32.5036354064941,4
"20","Pycnopodia helianthoides",-3171262.57547718,2976396.60487718,-113.921432495117,12.2943172454834,2.57181715965271,32.3758773803711,3
"21","Pycnopodia helianthoides",-3088055.91543088,2996434.0384219,-129.64826965332,11.9485559463501,1.94891214370728,32.3997459411621,2
"22","Pycnopodia helianthoides",-3202007.98540496,2980867.18508451,-135.07194519043,12.0426912307739,2.3077712059021,32.3331489562988,3
"23","Pycnopodia helianthoides",-3123918.48937937,2970146.32518478,-75.7877731323242,12.6860790252686,1.99391198158264,32.3284683227539,2
"24","Pycnopodia helianthoides",-3079612.94831869,2973396.62141919,-149.580490112305,12.0812168121338,1.63820922374725,32.3112678527832,3
"25","Pycnopodia helianthoides",-3068214.42403692,2964170.08959594,-89.2674102783203,12.072774887085,1.60371196269989,32.3206024169922,2
"26","Pycnopodia helianthoides",-3060812.48322843,2980707.67625179,-68.5684585571289,12.1300754547119,1.55271828174591,32.3430633544922,2
"27","Pycnopodia helianthoides",-3181241.34625542,2961743.14116575,-75.0548248291016,12.6546287536621,1.77979755401611,32.3723258972168,3
"28","Pycnopodia helianthoides",-2748982.43870545,3004032.04908311,-292.692199707031,13.8059682846069,1.25590133666992,31.8412971496582,4
"29","Pycnopodia helianthoides",-2734221.7373547,3023392.21996162,-167.219772338867,13.1609153747559,1.67982292175293,31.5037784576416,5
"30","Pycnopodia helianthoides",-2405508.62098897,2851081.1408321,-168.79524230957,13.8708724975586,1.38866996765137,31.1024589538574,5
"31","Pycnopodia helianthoides",-2407397.00123403,2861476.55925939,-83.0468292236328,13.3563928604126,1.71780824661255,30.9997329711914,3
"32","Pycnopodia helianthoides",-2471243.78673552,2880270.6936972,-148.362564086914,14.5007038116455,1.17875647544861,31.4750537872314,4
"33","Pycnopodia helianthoides",-2296956.06037815,2619401.73477845,-301.449737548828,12.9221267700195,2.38328909873962,31.4960765838623,5
"34","Pycnopodia helianthoides",-2297323.44143883,2627628.99035436,-183.121612548828,12.2940969467163,1.86239361763,31.4839820861816,5
"35","Pycnopodia helianthoides",-2248802.41312618,2280109.67418964,-66.1228942871094,13.1574792861938,4.05535078048706,31.5700645446777,2
"36","Pycnopodia helianthoides",-2238287.08298268,2170359.28442499,-320.973358154297,12.2800960540771,4.02303314208984,31.3377876281738,3
"37","Pycnopodia helianthoides",-2939327.93781817,3165655.11619643,-1.01001942157745,13.5470447540283,2.93971061706543,-9999,-9999
"38","Pycnopodia helianthoides",-2939327.93781817,3165655.11619643,-1.01001942157745,13.5470447540283,2.93971061706543,-9999,-9999
"39","Pycnopodia helianthoides",-2939327.93781817,3165655.11619643,-1.01001942157745,13.5470447540283,2.93971061706543,-9999,-9999
"40","Pycnopodia helianthoides",-2939327.93781817,3165655.11619643,-1.01001942157745,13.5470447540283,2.93971061706543,-9999,-9999
