"","Species","Longitude","Latitude","Depth","90th_%_Temp","Mean_Chl","Salinity","Substrate"
"1","background",-1938079.31188938,-535091.839145724,-271.350891113281,21.9461555480957,1.42226195335388,33.4329681396484,2
"2","background",-1876341.30276324,1381259.4575283,-146.326644897461,19.8761920928955,21.9628009796143,25.2452087402344,4
"3","background",-4113197.5271561,3178387.99860052,-107.693069458008,8.3730993270874,1.2094292640686,32.3017959594727,3
"4","background",-1838983.89328121,1361896.62548265,-0.631568551063538,12.511981010437,-9999,-9999,4
"5","background",-1978273.46993766,1220750.78010894,-6.73526096343994,14.6867828369141,-9999,-9999,-9999
"6","background",-1885279.09904317,-715252.74296528,-270.748779296875,21.6244640350342,1.67311751842499,33.4426383972168,5
"7","background",-1846852.51381749,1206047.02055777,-45.1126022338867,11.5153284072876,21.6575508117676,29.1224384307861,2
"8","background",-1877567.63235212,1288444.39912322,-23.3325538635254,9.68321990966797,4.93699073791504,29.2382488250732,5
"9","background",-1877432.71371324,1372942.77373221,-299.644470214844,19.6509952545166,18.6588668823242,25.2359504699707,4
"10","background",-2171320.26719972,1861431.91002314,-296.513061523438,14.1969413757324,1.9798184633255,31.5795860290527,4
"11","background",-1839653.60325348,1208129.90518706,-54.7369117736816,-9999,30.0791969299316,28.8890895843506,-9999
"12","background",-2041343.1182003,-394317.816049626,-3.53287291526794,19.5836734771729,-9999,33.4967765808105,-9999
"13","background",-2254744.75649809,1892615.62092103,-38.5348701477051,11.0879573822021,4.0377631187439,-9999,-9999
"14","background",-1870986.39737318,1251808.22271385,-110.312004089355,11.2686347961426,3.93553495407104,30.0671367645264,3
"15","background",-2960587.01032516,3016515.54579506,-43.4754486083984,11.265007019043,2.33324766159058,32.0635528564453,3
"16","background",-1867215.59833898,-700428.271856578,-44.7033004760742,21.1133937835693,5.07764387130737,-9999,-9999
"17","background",-1873131.28220998,1251911.66177352,-110.312004089355,11.2686347961426,3.93553495407104,30.0671367645264,3
"18","background",-1821229.3054447,1318277.78971222,-3.66534495353699,17.1902198791504,19.3753757476807,-9999,2
"19","background",-2094586.10117956,798469.850414428,-53.7856521606445,13.7194681167603,8.47279262542725,32.0209197998047,2
"20","background",-2169815.9643288,608792.304284578,-21.6835021972656,12.4601669311523,5.46101140975952,32.7072792053223,2
"21","background",-1849509.39024395,1247392.98855947,-45.6589317321777,11.9554262161255,4.7308669090271,29.6693592071533,4
"22","background",-1984343.1989227,1315003.00705127,-120.129745483398,12.9560213088989,5.74340200424194,31.3484420776367,5
"23","background",-2175819.96260759,-83486.3925420153,-262.945129394531,14.8441534042358,4.03571462631226,33.4211883544922,5
"24","background",-2105963.84203346,-328668.643941896,-11.96555519104,-9999,-9999,-9999,-9999
"25","background",-2053760.52642796,-549602.169373617,-190.453323364258,19.5409622192383,1.31520211696625,33.4646415710449,4
"26","background",-2042858.38217852,991229.895411809,-134.43830871582,16.3778800964355,5.56837797164917,30.2030353546143,5
"27","background",-1875217.80150684,-704033.304439868,-110.184226989746,21.2037506103516,4.02249670028687,33.4479827880859,2
"28","background",-1897785.16427203,-580376.495741411,-351.948303222656,22.4296226501465,1.08403778076172,33.4301986694336,5
"29","background",-1877190.33878672,1234035.15809081,-39.5205841064453,10.7174816131592,4.88304805755615,30.5942916870117,3
"30","background",-2096613.79046934,-479488.020250862,-186.494598388672,18.5480556488037,2.38593053817749,33.4892807006836,2
"31","background",-1859867.48044722,1304589.54925422,-40.0111083984375,17.5988082885742,9.862548828125,27.3107013702393,5
"32","background",-1870775.65359238,1381391.03970334,-46.8074645996094,19.5333786010742,20.4234943389893,24.7469730377197,4
"33","background",-1995743.83678444,1321532.89921731,-102.686737060547,13.0600538253784,6.03350400924683,31.3799171447754,2
"34","background",-1950620.42528598,-566918.675023686,-292.465179443359,22.0509338378906,0.64226907491684,33.451473236084,5
"35","background",-3584265.60317743,3004092.54917183,-199.976867675781,11.1297197341919,2.49309062957764,31.792875289917,2
"36","background",-3804968.1232798,3142981.04699046,-40.1474609375,9.38721084594727,3.51445960998535,31.6636123657227,2
"37","background",-3042079.45205878,3035246.43742459,-119.357536315918,10.4034051895142,2.32153558731079,32.1965713500977,4
"38","background",-1831158.09627257,1295025.48997322,-60.5473899841309,16.2012958526611,15.9674053192139,27.9488964080811,5
"39","background",-1923702.08136747,1253179.67400702,-147.967468261719,11.0466842651367,6.26094675064087,31.1441268920898,5
"40","background",-2118542.43333261,-423236.86234238,-43.6975517272949,16.2710590362549,4.19650030136108,33.4757270812988,4
"41","background",-1898103.39753317,1408318.68988488,-107.744529724121,19.3569259643555,15.886908531189,26.476900100708,4
"42","background",-2164770.2019584,594531.67686939,-48.0851631164551,12.7132225036621,4.96517610549927,32.706916809082,1
"43","background",-3801084.26524939,3173196.02859781,-31.7176094055176,8.87839126586914,1.53383779525757,31.4649467468262,3
"44","background",-2041581.95676952,-506936.276455285,-386.864776611328,20.1461963653564,1.75992155075073,33.4628601074219,3
"45","background",-1919348.70987345,-639340.692124626,-370.880615234375,22.0648193359375,0.501448273658752,33.4595336914062,4
"46","background",-2088250.84517183,-389744.255043896,-296.145141601562,18.2687320709229,6.02087545394897,33.5039367675781,4
"47","background",-1954500.66204445,-537661.863263134,-322.731292724609,22.4175853729248,0.906697928905487,33.4428482055664,4
"48","background",-1885648.1717918,-631178.992493243,-194.256683349609,22.5755424499512,2.19120526313782,33.4661712646484,5
"49","background",-1895640.75287079,1439187.79536112,-27.1892929077148,19.356409072876,14.4018888473511,-9999,-9999
"50","background",-2095293.48400357,1602218.42077665,-5.24617767333984,-9999,-9999,-9999,-9999
"51","background",-1873315.07951374,1271232.4545568,-109.624710083008,10.732250213623,4.33222150802612,29.9381942749023,3
"52","background",-3537705.94136662,3035366.37595721,-188.175918579102,11.201584815979,1.37057876586914,31.5415687561035,5
"53","background",-1869545.18267031,1383967.75689493,-46.8074645996094,19.5333786010742,20.4234943389893,24.7469730377197,4
"54","background",-1822975.265843,1220522.6120154,-12.7746534347534,-9999,13.0094299316406,-9999,4
"55","background",-2167843.83008887,663977.281390904,-86.9331665039062,12.422043800354,3.63882684707642,32.5342292785645,1
"56","background",-1843308.25913473,1230273.42656614,-22.9107055664062,13.2206220626831,14.9795351028442,29.6250476837158,4
"57","background",-2108509.38391722,1564984.31062071,-3.68718004226685,15.0600147247314,-9999,-9999,-9999
"58","background",-1855064.62282116,1204654.97178133,-23.0756931304932,10.8952770233154,16.5534801483154,29.3596611022949,-9999
"59","background",-2074044.14972518,1706932.29348942,-21.898509979248,15.2356786727905,20.3926181793213,30.4760932922363,5
"60","background",-1852568.79726581,1205801.19056191,-23.0756931304932,10.8952770233154,16.5534801483154,29.3596611022949,-9999
"61","background",-2266516.99994837,2206680.77783864,-84.2429504394531,12.4466047286987,3.31431841850281,31.4559440612793,2
"62","background",-1855563.35834212,1243173.14735489,-70.0032806396484,11.6965732574463,4.51588487625122,29.9162139892578,5
"63","background",-2885365.74568853,3093456.60159162,-178.545867919922,12.9871187210083,1.7140566110611,31.2511501312256,4
"64","background",-1863175.98387939,1262785.62477562,-109.624710083008,10.732250213623,4.33222150802612,29.9381942749023,3
"65","background",-1900024.30077321,1395898.66689416,-244.326873779297,19.7828578948975,19.393346786499,26.4902381896973,4
"66","background",-1863798.95485785,1210534.64533154,-17.2705039978027,11.4296503067017,-9999,-9999,-9999
"67","background",-1880493.25139725,-664195.636431141,-17.4727458953857,21.2461032867432,4.15144729614258,33.4608955383301,2
"68","background",-2111761.07927648,819786.831673302,-107.093070983887,14.8436260223389,4.1766529083252,31.9908428192139,5
"69","background",-1841088.81918216,1292867.54639138,-62.0542678833008,13.7171297073364,7.53829050064087,28.3663291931152,5
"70","background",-1909718.09591474,-543971.378431501,-186.790466308594,22.6808700561523,2.08873867988586,33.4110336303711,5
"71","background",-2120093.47955056,-402945.143539163,-303.033081054688,16.4941844940186,4.12700319290161,33.4790344238281,4
"72","background",-1968689.72183033,-561717.830424904,-143.540908813477,21.7544441223145,0.735679924488068,33.4601669311523,4
"73","background",-1879583.11411718,1371285.53331056,-299.644470214844,19.6509952545166,18.6588668823242,25.2359504699707,4
"74","background",-1849399.95952386,1203247.32223058,-45.1126022338867,11.5153284072876,21.6575508117676,29.1224384307861,2
"75","background",-1994788.60293633,-643786.465480651,-403.83349609375,20.711353302002,0.596633970737457,33.4560050964355,2
"76","background",-1842803.51106035,1299577.94474027,-105.24649810791,13.7538833618164,8.24625778198242,27.7903747558594,3
"77","background",-2175640.22798432,-12630.0940491026,-7.15857362747192,14.9453563690186,7.36770296096802,33.3143920898438,-9999
"78","background",-1857555.39841878,1332190.64294879,-117.967628479004,19.2928009033203,9.28988265991211,26.1254444122314,2
"79","background",-2078411.29803839,940618.337968055,-435.744110107422,17.1819133758545,1.41715037822723,31.2841777801514,4
"80","background",-3202222.85402039,2990945.9923242,-65.999626159668,10.5227069854736,3.98755025863647,32.2805328369141,3
"81","background",-2191552.08561409,-44390.9861459197,-144.851043701172,14.6460456848145,5.07458782196045,33.347038269043,5
"82","background",-3302511.54713164,2924790.65869014,-186.320068359375,10.82399559021,2.38059973716736,32.2533798217773,2
"83","background",-2024982.71190676,980043.685219571,-82.5248336791992,15.8754625320435,8.47290420532227,30.1343231201172,5
"84","background",-1851056.30367295,1211407.77549686,-47.2237396240234,10.6456823348999,11.9314031600952,29.2956676483154,2
"85","background",-1965897.39747274,-542502.011409686,-103.118057250977,22.0633544921875,0.957841753959656,33.4479217529297,4
"86","background",-2088095.75744621,-442738.075018234,-36.7922172546387,19.3751678466797,2.878830909729,33.4748077392578,2
"87","background",-1873765.87027299,1415397.48398438,-5.00129365921021,16.4274101257324,-9999,-9999,-9999
"88","background",-2247529.90421602,73748.6269222759,-232.293609619141,14.6402196884155,2.4399254322052,33.1728668212891,2
"89","background",-1871858.5957792,1257135.5610243,-110.312004089355,11.2686347961426,3.93553495407104,30.0671367645264,3
"90","background",-2060971.0806842,861461.342307366,-17.8319625854492,14.5302877426147,6.96098947525024,32.0152320861816,1
"91","background",-1882517.08313072,1364693.27765879,-237.329193115234,19.3271427154541,16.1621513366699,25.3967247009277,4
"92","background",-1947771.18903874,1506472.50361536,-0.40956848859787,18.8715629577637,-9999,-9999,4
"93","background",-2174716.79547733,-5121.98800799856,-15.888388633728,15.0737590789795,4.58108139038086,33.3162536621094,2
"94","background",-2103966.89805838,1511362.31007835,-81.6450424194336,14.5298480987549,9.07790088653564,31.58083152771,2
"95","background",-2223312.74785534,82430.1855971147,-92.1633758544922,14.1885261535645,5.78682613372803,33.1893653869629,5
"96","background",-3672541.22269419,2977772.41368952,-221.925872802734,10.5588541030884,2.15685105323792,32.2680702209473,3
"97","background",-1856419.50846025,1204714.04349854,-23.0756931304932,10.8952770233154,16.5534801483154,29.3596611022949,-9999
"98","background",-1872554.73720119,1212901.31185347,-17.2705039978027,11.4296503067017,-9999,-9999,-9999
"99","background",-2260312.62431903,2245338.13557975,-101.837730407715,12.3825778961182,6.6619029045105,31.6081027984619,3
"100","background",-1906563.29737521,-532068.159194376,-72.7042694091797,22.8023071289062,3.45364928245544,33.4091453552246,-9999
"101","background",-3833474.84611955,3116252.60878273,-18.1525897979736,9.47127628326416,2.7795078754425,31.6713485717773,2
"102","background",-2088744.57684265,1423276.76345138,-236.419418334961,14.5542583465576,3.56313276290894,31.7895584106445,2
"103","background",-1985186.69283185,-476651.087212544,-274.219848632812,20.865421295166,2.5741708278656,33.4664688110352,4
"104","background",-2091108.32716223,881019.193393772,-221.790481567383,15.8409442901611,2.07683825492859,31.8597831726074,5
"105","background",-2044321.68864627,-434480.913942561,-203.341735839844,19.3074417114258,3.44450163841248,33.4724159240723,4
"106","background",-2237281.3594601,114413.286873903,-239.352416992188,13.4639205932617,2.65681791305542,33.190055847168,2
"107","background",-3644410.26169868,2993529.61478488,-37.7043190002441,10.6193313598633,1.85994684696198,32.1343650817871,3
"108","background",-2176880.16047147,21405.7237629336,-11.4348630905151,15.6939754486084,6.5955810546875,33.3145751953125,-9999
"109","background",-1845482.49541215,1224867.10031824,-42.1472015380859,11.2560977935791,13.58997631073,29.4616394042969,5
"110","background",-1878884.49509923,-685704.690237519,-20.9228610992432,21.4886417388916,5.02650451660156,33.4550285339355,2
"111","background",-1837477.8768342,1323256.19209717,-24.931173324585,17.7186679840088,19.2445640563965,26.4310855865479,5
"112","background",-3454887.20231385,2999480.18514861,-200.284469604492,10.6059341430664,1.54111635684967,31.8180236816406,2
"113","background",-2083028.79266222,1756545.61597031,-111.761604309082,14.0079526901245,8.87020778656006,30.2919483184814,4
"114","background",-2096403.08254891,-471592.455235192,-159.966323852539,18.6825103759766,2.30213403701782,33.4949836730957,2
"115","background",-1857378.93111662,1209162.48916308,-13.8094005584717,10.3314599990845,6.39873695373535,29.7554149627686,2
"116","background",-2839203.78996539,3085458.04641225,-197.736907958984,13.0984592437744,1.56619095802307,31.3904628753662,5
"117","background",-3288639.29843211,3129662.94337031,-5.92571306228638,9.53457450866699,4.94102764129639,31.2190589904785,1
"118","background",-2104886.77653816,785076.522366439,-97.4948348999023,14.0970211029053,6.65347480773926,32.193733215332,5
"119","background",-1874560.98011484,-640653.234545571,-3.03856372833252,22.5188770294189,-9999,33.464469909668,-9999
"120","background",-1882055.56653157,1235902.55443181,-39.5205841064453,10.7174816131592,4.88304805755615,30.5942916870117,3
"121","background",-3048715.18804456,3039742.30302641,-100.039016723633,10.0178184509277,1.97779655456543,32.1258277893066,3
"122","background",-1892548.29362187,1252088.92998961,-69.460319519043,11.1288690567017,4.15312957763672,30.6465148925781,3
"123","background",-4214360.61805446,3254748.94631941,-129.992095947266,8.74866962432861,1.03601014614105,32.8213653564453,2
