"","Species","Longitude","Latitude"
"97","Pycnopodia helianthoides",-2068169.65863201,-436643.842297451
"98","Pycnopodia helianthoides",-2068431.48608979,-436393.461021854
"99","Pycnopodia helianthoides",-2046810.49113246,-450290.361521608
"100","Pycnopodia helianthoides",-2099542.66408448,-447386.5140482
"101","Pycnopodia helianthoides",-2099804.07847787,-447203.943804591
"102","Pycnopodia helianthoides",-2098740.24212436,-448318.628107286
"103","Pycnopodia helianthoides",-2098331.46687356,-448738.380826196
"104","Pycnopodia helianthoides",-2096295.25941154,-447895.851143957
"105","Pycnopodia helianthoides",-2096295.25941154,-447895.851143957
"106","Pycnopodia helianthoides",-2096958.78233549,-448666.097071727
"107","Pycnopodia helianthoides",-2096559.35537656,-448492.641670071
"108","Pycnopodia helianthoides",-2096346.89841263,-448129.553434852
"109","Pycnopodia helianthoides",-2096958.78233549,-448666.097071727
"110","Pycnopodia helianthoides",-2096559.35537656,-448492.641670071
"111","Pycnopodia helianthoides",-2071927.91805212,-433714.881903779
"112","Pycnopodia helianthoides",-2070817.69997081,-434117.325825017
"113","Pycnopodia helianthoides",-2072824.05656652,-433290.234438446
"114","Pycnopodia helianthoides",-2107794.43638143,-379689.625396377
"115","Pycnopodia helianthoides",-2107302.7697894,-380049.905982083
"116","Pycnopodia helianthoides",-2050106.05399063,-442936.917302364
"117","Pycnopodia helianthoides",-2049819.35020564,-442735.240411235
"118","Pycnopodia helianthoides",-2068431.48608979,-436393.461021854
"119","Pycnopodia helianthoides",-2068080.52597032,-436931.823388226
"120","Pycnopodia helianthoides",-2068169.65863201,-436643.842297451
"121","Pycnopodia helianthoides",-2057917.6132006,-442705.281801148
"122","Pycnopodia helianthoides",-2058327.32757557,-442287.517874754
"123","Pycnopodia helianthoides",-2036143.04596053,-404429.939684403
"124","Pycnopodia helianthoides",-2103805.28693349,-442477.634512251
"125","Pycnopodia helianthoides",-2103576.94687898,-443482.602783458
"126","Pycnopodia helianthoides",-2096958.78233549,-448666.097071727
"127","Pycnopodia helianthoides",-2096559.35537656,-448492.641670071
"128","Pycnopodia helianthoides",-2056940.43568145,-448536.895365673
"129","Pycnopodia helianthoides",-2048312.16384836,-449816.641698714
"130","Pycnopodia helianthoides",-2046810.49113246,-450290.361521608
"131","Pycnopodia helianthoides",-2061775.15476684,-396528.967889758
"132","Pycnopodia helianthoides",-2062721.15590346,-396070.898132352
"133","Pycnopodia helianthoides",-2071927.91805212,-433714.881903779
"134","Pycnopodia helianthoides",-2070817.69997081,-434117.325825017
"135","Pycnopodia helianthoides",-2058661.33903653,-441573.458934075
